name,tier,activation,ranked,description,source
Conduit,4,Active (Maneuver),No,Once per encounter spend Story Point to perform magic action as maneuver.,ROT
Deadeye,4,Active (Incidental),No,After inflicting Critical Injury with ranged weapon suffer 2 strain to select any Critical Injury of same severity.,GCRB
Deadly Accuracy,4,Passive,Yes,Choose combat skill. Add damage equal to ranks to hit from that skill. Cannot choose same skill twice.,ABGR; ACRB; ECRB
Death Rage,4,Passive,No,Add +2 damage to melee attacks per Critical Injury suffered.,ROT
Defensive,4,Passive,Yes,Each rank increases melee and ranged defense by one.,GCRB
Defensive Driving,4,Passive,Yes,Increase vehicle defense by 1 per rank piloted.,GCRB
Deflection,4,Active (Incidental; Out of Turn),No,Must have Reflect talent. After using Reflect spend Story Point to Move as incidental to engage opponent.,FCRB
Discredit,4,Active (Action),No,Once per encounter make Hard Deception check to upgrade one character's social checks difficulty once plus once per pair of advantages until encounter end.,DA
Distracting Behavior (Improved),4,Passive,No,Must have Distracting Behavior talent. Inflict two help on NPC checks when NPCs target allies.,FH
Dodge (Improved),4,Active (Incidental),No,When performing Dodge may make Move maneuver as out-of-turn incidental after attack resolves.,KOF
Don't Shoot!,4,Active (Action),No,Once per session make Hard Charm check. Cannot be target of combat checks until encounter end or making combat check.,FC
Dormant Personality Overlay,4,Active (Incidental),No,Select three skills with one or no ranks. Once per session spend Story Point. Count as 4 ranks in those skills until end of encounter. Suffer 1 strain at turn start.,EOTI
Double or Nothing (Improved),4,Passive,No,Must have Double or Nothing talent. When performing also double remaining successes.,FC
Double-Talk,4,Passive,No,Spend advantages or triumph from successful Charm or Deception to disorient opponents within short range equal to Presence.,DOR
Elementary,4,Active (Action),No,Once per session make Hard Perception check at crime scene. Identify all physical characteristics of one person per check success.,SOTB
Elementalist (Supreme),4,Active (Incidental),No,Must have Elementalist talent. When casting Augment Barrier or Transform spell targets gain Elementalist (Improved) ability for duration.,GEPG
Enduring,4,Passive,Yes,Each rank increases soak value by one.,GCRB
Field Commander (Improved),4,Passive,No,Must have Field Commander talent. Affect allies equal to 2x Presence. Spend triumph to allow ally to perform action instead of maneuver.,GCRB
Flicker Step,4,Active (Incidental),No,When casting Arcana spell spend advantages or triumph to vanish and reappear within long range.,GEPG
Fly Quiet,4,Active (Action),No,Once per encounter make Hard Piloting or Operating check. Ship vanishes from sensors until firing weapons or defeated.,EOTI
Formation Tactics (Improved),4,Passive,No,Reduce Formation Tactics difficulty to Average. Spend triumph or advantages to extend effect until encounter end.,DOR
Fortune Favors the Bold,4,Active (Incidental),No,Once per session suffer 2 strain as incidental to flip GM Story Point to Player Story Point.,FC
Full Throttle (Improved),4,Active (Action),No,Must have Full Throttle talent. Suffer 1 strain to attempt Full Throttle as maneuver with Average difficulty. Top speed increases by 2 instead of 1.,ABGR; ACRB; EBGR; ECRB; EV
Future Sight,4,Active (Incidental),No,Must have Nomad allegiance. Once per session after performing action cancel results and perform different action.,EOTI
Holistic Navigation,4,Active (Incidental),No,When making Astrocartography check spend Story Point to remove despair or remove help equal to Perception ranks.,SS
How Convenient!,4,Active (Action),No,Once per session make Hard Mechanics check. One device in encounter spontaneously fails.,GCRB
Improvised Position,4,Active (Action),No,Make Hard Mechanics check spending 12 hours constructing position. Vehicle silhouettes total 4 or less. Provides cover and narrative benefits.,FO
In the Know,4,Active (Action),No,Once per session make opposed Deception vs Vigilance with difficulty downgraded per Deception ranks to make target believe false intelligence.,DA
Incite Distraction,4,Active (Action),No,In crowd or populated area make Average Deception check. Enemies treat area as difficult terrain. Spend triumph for impassable terrain.,CAM
Incite Rebellion,4,Active (Action),No,Once per session make Hard Coercion check to cause beings equal to Coercion ranks to become rebellious until encounter end.,ACRB
Inspiring Rhetoric (Supreme),4,Active (Incidental),No,Must have Inspiring Rhetoric talent. Suffer 1 strain to use Inspiring Rhetoric as maneuver instead of action.,GCRB
It's Not that Bad,4,Active (Action),No,Once per session when ally would suffer Critical Injury make Hard Medicine check to prevent it.,ACRB
Lose Them,4,Active (Action),No,When followed or chased make Hard Stealth check. Add two setbacks to follow checks. Spend triumph to lose pursuers completely.,CAM
Mad Inventor,4,Active (Action),No,Once per session make Mechanics check to cobble together functional equivalent of item. Difficulty based on rarity.,GCRB
Masterful Casting,4,Active (Incidental),No,When casting spell spend triumph to trigger up to three different qualities or effects instead of one.,GEPG
Menace,4,Active (Maneuver),No,Once per round spend maneuver to allow silhouette 2+ creature linked through Animal Companion at short range with enemy to perform Menace. Enemy gains setback.,SS
Moving Target,4,Passive,Yes,If character already acted this round increase ranged defense by 1 per rank.,FIB
Multitasking,4,Active (Incidental),No,Must be Naaz-Rokha or have allegiance. Once per encounter exchange two maneuvers for action to perform two actions.,EOTI
Not Today,4,Active (Incidental),No,Must have Signature Vehicle talent. Once per session spend Story Point to save Signature Vehicle from destruction.,SOT
Offensive Driving,4,Active (Action),No,While driving or piloting select vehicle within medium range. Make opposed Driving or Piloting check. Roll twice on Critical Hit table choosing which applies to each vehicle.,SOTB
Overbalance,4,Passive,No,After enemy engaged makes combat check spend despair or help to stagger attacker until end of next turn.,ND; KTP
Overcharge,4,Active (Action),No,Once per encounter make Hard Mechanics check. Choose cybernetic providing +1 characteristic skill or talent. Provides +2 until encounter end. GM spends despair or help to short out.,GCRB
Parkour! (Improved),4,Active (Incidental),No,Must have Parkour! talent. Once per round suffer 4 strain to move within medium range instead of short range.,SOTB
Polymorph,4,Passive,No,If have Arcana or Divine rank can cast transform spell to transform into magical creatures.,GEPG
Pommel Smash,4,Active (Maneuver),No,After Melee check with two-handed weapon suffer 3 strain to stagger engaged opponent silhouette 2 or less.,EOTI
Precise Aim,4,Active (Incidental),Yes,Once per round when performing Aim maneuver suffer strain up to ranks. Decrease target defense by 1 per strain.,EBGR; ECRB; SS
Prey on the Weak,4,Passive,Yes,Add +1 damage to disoriented target hits per rank.,FIB; FCRB
Pride and Joy (Supreme),4,Active (Incidental),No,Once per session inside Pride and Joy reduce silhouette by 2 minimum 0 for current and following round.,DOR
Prime Positions,4,Passive,Yes,When character or ally takes cover increase ranged attack soak by 1 per rank.,FIB; KTP
Prophetic Aim,4,Passive,No,While benefiting from Aim maneuver despair cannot cause attacks to hit engaged allies.,KTP
Push the Specs,4,Active (Action),No,Make Average Knowledge check in ship or vehicle. Top speed increases by 1 for rounds equal to Intellect. Spend advantage to extend or suffer 2 strain.,FO
Quick-Witted,4,Active (Incidental; Out of Turn),No,Once per encounter after social check make Average Vigilance check. Add successes or advantages per Charm ranks or suffer 3 strain.,SOTB
Rain of Death,4,Active (Maneuver),No,Perform Rain of Death maneuver to ignore Auto-fire increased difficulty this turn.,FIB; DC
Reflect (Supreme),4,Active (Incidental; Out of Turn),No,Must have Reflect talent. If did not make combat check last turn suffer 1 strain to use Reflect.,FCRB
Reinforced Frame,4,Passive,No,Must have Signature Vehicle talent. Signature Vehicle gains Massive 1 quality.,SOT
Reroute Processors,4,Active (Action),No,Once per encounter make Average Computers check to reduce one artificial life characteristic by 1 and increase another.,SM
Resist Questioning (Improved),4,Passive,No,When ally within short range targeted by social check use Resist Questioning. If fails spend despair to provide false information they believe.,CAM
Resolve,4,Passive,Yes,When involuntarily suffering strain suffer 1 less per rank minimum 1.,ABGR; ACRB; EBGR; ECRB
Savvy Negotiator,4,Active (Action),No,During debate make Hard Negotiation check. Number of bystanders equal to Presence see opponent's point as unreasonable.,DOH
Scathing Tirade (Supreme),4,Active (Incidental),No,Must have Scathing Tirade talent. Suffer 1 strain to use Scathing Tirade as maneuver instead of action.,GCRB
Second Chances,4,Active (Incidental),Yes,Once per encounter choose positive dice equal to ranks and reroll.,SOT; FC
Seen a Lot of Things,4,Passive,No,When failing Knowledge check spend triumph to roll again next turn.,DOR
Showboat,4,Active (Incidental),No,When making vehicle check suffer 2 strain to gain triumph on success or despair on failure.,SOT
Signature Spell (Improved),4,Passive,No,Must have Signature Spell talent. Reduce casting difficulty by two instead of one.,ROT
Skilled Slicer,4,Active (Incidental),No,When making Computers check spend triumph to make further Computers checks within system as maneuvers.,ACRB; ECRB
Strength of Faith,4,Active (Maneuver),No,Once per session add successes equal to Discipline ranks and advantages equal to Willpower to next Divine check.,GEPG
Speaks Binary (Improved),4,Passive,No,Must have Speaks Binary talent. NPCs grant additional setback besides other benefits.,SM
Spit Fire,4,Passive,No,After successful combined check with two Ranged (Light) weapons allocate additional hits to other targets within range.,FC
Spur (Improved),4,Active (Maneuver),No,Must have Spur talent. Suffer 1 strain to attempt Spur as maneuver with Average difficulty.,SOT
Steady Aim,4,Passive,No,Do not lose Aim maneuver benefits performing other maneuvers including moving.,DOR
Street Smarts,4,Active (Action),Yes,Once per session make Formidable Streetwise or Knowledge check to learn vital clue. Reduce difficulty per rank.,ACRB; EBGR; ECRB; FCRB
Supporting Evidence,4,Passive,Yes,When assisting ally with Charm Deception Leadership or Negotiation check add automatic advantage per rank.,DA
Targeted Firepower,4,Active (Action),No,Once per session identify enemy target and make Hard Knowledge check. Allies within short range add advantage to attacks per success until encounter end.,DOR
Teleportation,4,Active (Action),No,With Arcana rank once per session make Daunting Arcana check. Vanish and reappear in known location. Bring 5 allies adding setback per ally. Upgrade difficulty for other planes.,GEPG
That's How It's Done,4,Active (Incidental),Yes,On successful check suffer 1 strain to add advantage to same skill check made by allies equal to Willpower within short range.,LBE
Trust No One,4,Active (Incidental; Out of Turn),No,When targeted by social check suffer 1 strain adding failure. If fails with despair perform maneuver as out-of-turn incidental.,DOR
Unrelenting,4,Active (Incidental),No,Once per round after successful Brawl or Melee check suffer 4 strain to make additional melee attack. Increase difficulty by 1 or 2.,ROT
Unrelenting Skeptic,4,Passive,No,When targeted by Deception check automatically add failure equal to Vigilance ranks.,FH; EV
Unstoppable,4,Passive,No,When receiving Critical Injury if percentile roll is 1 do not receive Critical Injury.,ACRB
Urban Combatant,4,Active (Incidental; Out of Turn),No,When targeted by combat check in urban environment spend Story Point before rolling. Remove setback from check and add equal failure.,SOTB
Venom-Soaked Blade,4,Passive,No,When making poisoned Melee (Light) check treat weapon as possessing Burn 2 quality.,ROT
Weak Foundation,4,Active (Action),No,Once per session identify fixed combat structure and make Hard Knowledge check. Character and allies add advantages or successes to attacks until encounter end.,FO
You Owe Me One (Improved),4,Active (Incidental),No,Must have You Owe Me One talent. Once per session spend two Story Points to have NPC owe big favor.,SOTB
Against All Odds,5,Active (Incidental),No,Once per session after check select failure help or despair. Remove all and add equal successes advantages or triumph.,EOTI
Altered Deal,5,Active (Action),No,Once per session make Hard Coercion check to radically change previous deal or bargain.,DOR
Armor Master (Supreme),5,Active (Incidental; Out of Turn),No,Must have Armor Master talent. Once per round when suffering Critical Injury suffer 3 strain to reduce by 10 per soak minimum 1.,KTP
Baleful Gaze,5,Active (Incidental; Out of Turn),No,When targeted by combat check within medium range spend Story Point to upgrade difficulty per Coercion ranks.,KTP
Biggest Fan,5,Active (Action),No,Once per session make Hard Charm check to turn one NPC into biggest fan with various benefits.,FH
Bodyguard (Supreme),5,Passive,No,Must have Bodyguard talent. Bodyguard maneuver protects allies equal to Resilience ranks.,FIB
Comrades in Arms (Improved),5,Passive,No,Spend triumph or advantages during Comrades in Arms to give +1 soak or give affected ally +1 soak.,DOR
Coordination Dodge,5,Active (Incidental),No,When targeted by combat check spend Story Point to add failure equal to Coordination ranks.,FH; ND
Crucial Point,5,Active (Incidental),No,Once per session introduce negotiation concession opponent will do nearly anything to obtain.,DOH
Crushing Blow,5,Active (Incidental),No,Once per session after rolling melee attack before resolving suffer 4 strain. Weapon gains Breach 1 Knockdown and destroys non-Reinforced item.,ROT
Custom Loadout,5,Passive,No,Must have Signature Vehicle talent. Add one weapon or equipment mount.,SM
Dedication,5,Passive,Yes,Each rank increases one characteristic by one. Cannot exceed 5. Cannot increase same characteristic twice.,GCRB
Dire Animal Companion,5,Passive,No,Must have Animal Companion with Primal rank. Increase Brawn by 1 maximum 5 increase wound threshold by 4. Increase silhouette 0 to 1. Increase Agility or Willpower by 1.,GEPG
Double or Nothing (Supreme),5,Passive,No,Must have Double or Nothing talent. Also double triumph and despair when performing.,FC
Drone Master,5,Passive,No,Control two drones or minion groups maximum Willpower silhouette. Resolve turns individually.,SOTB
Full Throttle (Supreme),5,Passive,No,Must have Full Throttle talent. Top speed increases by 2 instead of 1.,ACRB; ECRB; EV
Ghost in The Machine,5,Active (Action),No,With Network access make Hard Computers check. Select drone vehicle equipment or cybernetics wearer and dictate actions until next turn.,SOTB
Heavy Hitter,5,Active (Incidental),No,Once per session spend triumph on successful Ranged (Heavy) or Gunnery check to add Breach 1 or increase existing.,FIB; DC
Indomitable,5,Active (Incidental; Out of Turn),No,Once per encounter when would be incapacitated spend Story Point. Not incapacitated until end of next turn.,GCRB
Inside Knowledge,5,Active (Action),No,Once per session within enemy facility make Hard Skullduggery check. Find personal scale weapon or gain narrative benefit.,CAM
Inside Person,5,Active (Action),No,Once per session spend Story Point to establish previously undercover at identified location. Add advantages to related checks until session end.,CAM
Inspiring Leadership,5,Active (Action),No,Make Hard Leadership check. Allies not exceeding Presence within short range add successes to next check.,DOR
Integral Weapon,5,Passive,No,Must be Titan. Choose integral particle beam or integral grav-field. Equipped as palm weapon. Cannot be disarmed.,EOTI
Just Kidding!,5,Active (Incidental),No,Once per round spend Story Point to ignore despair from social check.,FC
Let's Talk This Over,5,Active (Incidental; Out of Turn),No,Once per session when combat about to begin make Daunting Charm check. Combat becomes social encounter.,ROT
Master,5,Active (Incidental),No,Choose skill. Once per round suffer 2 strain to reduce next check difficulty by two minimum Easy.,GCRB
Master Demolitionist,5,Active (Incidental),No,When resolving personal scale explosive attack spend advantage or triumph to have Blast affect all within short range.,FO
Master Driver/Pilot,5,Passive,No,Once per round when piloting suffer 2 strain to perform any action as maneuver.,ACRB; ETU; ECRB
Master Grenadier,5,Passive,No,Decrease advantage cost to activate Blast on any attack by 1 minimum 1.,ACRB; DC
Master Instructor,5,Active (Incidental; Out of Turn),No,Once per round suffer 2 strain to allow ally within short range count as having character's Discipline ranks.,DOH
Master Merchant,5,Active (Incidental),No,When buying or selling suffer 2 strain to sell for 25% more or buy for 25% less.,ACRB; ECRB
Master Plan,5,Active (Action),No,Once per session make Hard Discipline check. Reveal circumstances are part of brilliant plan. Turn one non-nemesis adversary into ally.,SOTB
Mind Breaker,5,Active (Action),No,Must be Druaa or have allegiance. Once per session spend Story Point make Hard Discipline check. Opponents within medium range suffer strain equal to Willpower. Each success inflicts Compromised Critical Injury.,EOTI
Most Impressive,5,Active (Incidental),No,Spend triumph from any check to allow allies not exceeding Presence within short range add advantage to next check.,DOR
Overcharge (Improved),5,Passive,No,Must have Overcharge talent. Spend advantages or triumph to immediately take one additional action. Once per check.,GCRB
Overwatch,5,Active (Incidental; Out of Turn),No,Once per round when opponent attacks ally within long range spend Story Point and despair or help to hit opponent automatically.,EOTI
Power of Darkness,5,Active (Maneuver),No,Once per session perform maneuver. Increase Wound and Strain Thresholds by 1 per GM Story Point until encounter end.,UP
Prepare to be Boarded,5,Active (Action),No,Once per encounter make opposed Coercion vs Discipline against enemy ship captain. Target suffers 1 strain per success and surrenders if exceeding threshold.,DOR
Remote Personal Wormhole,5,Active (Maneuver),No,Must be Creuss or have allegiance. Once per session teleport to seen or visited location instantly. Within extreme range no check. Beyond requires Hard Discipline check.,EOTI
Retribution,5,Active (Incidental; Out of Turn),No,Once per round when adversary attacks ally within medium range spend Story Point to hit enemy automatically.,ROT
Ruinous Repartee,5,Active (Action),No,Once per encounter make opposed Charm or Coercion vs Discipline within medium range. Target suffers strain equal to 2x Presence plus 1 per success.,GCRB
Speaks Binary (Supreme),5,Active (Maneuver),No,Once per encounter perform maneuver. NPCs artificial life use character's ranks for one chosen skill.,SM
Spur (Supreme),5,Passive,No,Must have Spur talent. Beast suffers 1 strain instead of 2 when spurred.,SOT
Superhuman Reflexes,5,Active (Incidental),No,Once per session after generating despair on Piloting check cancel and add successes equal to Cool ranks.,EV
Teleportation (Improved),5,Active (Action),Yes,Must have Teleportation talent. Make Hard Arcana check to create permanent beacon glyph or circle. Teleport there with Average difficulty. Two beacons per rank.,GEPG
Thorough Assessment,5,Active (Action),No,Once per session make Hard Knowledge check to gain setback equal to successes to distribute during encounter.,DA; LBE
Trick of The Light,5,Active (Incidental),No,When making laser or maser check spend advantage to inflict one additional hit with same damage.,SOTB
Unrelenting Skeptic (Improved),5,Active (Incidental),No,Must have Unrelenting Skeptic talent. When Deception check fails spend Story Point to add despair.,FH
Web of Knowledge,5,Active (Action),No,Once per session make Average Knowledge (Net) check during Network encounter. Know all ice and characters on accessed system. Spend advantages or triumph to add successes.,SOTB
Whirlwind,5,Active (Action),No,Suffer 4 strain to make Brawl Melee (Light) or Melee (Heavy) attack against hardest engaged adversary. Each engaged adversary suffers one hit.,ROT
Void Baron,5,Active (Incidental),No,After Piloting check spend advantages or triumph to make combat check as maneuver.,EOTI
Zealous Fire,5,Passive,No,Each time GM spends Story Point character heals 2 strain.,ROT
Catfall,1,Passive,Yes,When rolling Athletics or Coordination to reduce fall damage add setback. Reduce fall damage and strain by 1 per rank.,CCC-Tom Cruise
Deflect Spell,1,Active (Incidental; Out of Turn),Yes,When hit from magic combat check after damage calculated suffer 3 strain to reduce damage by 2 plus ranks.,CCC-Richardbuxton
Intuitive Casting,1,Passive,Yes,Add setback per rank to spell casting when character first PC to act in encounter.,CCC-TheSapient
Overchannel,1,Active (Incidental),Yes,When casting spell select additional difficulty effects up to ranks. Gain 2 threat per effect instead of increasing difficulty.,CCC-ESP77
Respected,1,Passive,Yes,Choose social group. Downgrade difficulty to interact with members per rank.,CCC-SavageBob
Specialist Knowledge,1,Passive,Yes,Choose specific expertise area. Reduce Knowledge check difficulty once for that area.,CCC-Tom Cruise
Street Slang,1,Active (Incidental),Yes,When making social check in criminal company suffer strain up to ranks to add equal advantages.,CCC-Klort
Covert Infiltration Training,1,Passive,No,Computers or Skullduggery become career skill. Spend 2 advantages to leave security device undamaged.,CCC-GM Ryan
Adroitness,2,Passive,No,Choose general skill. Reduce time required by 25%.,CCC-Swordbreaker
Familiar,2,Passive,Yes,Choose silhouette 0 creature as familiar. Bond persists as chosen. Familiar acts telepathically but only exchange actions for maneuvers. Assist magic checks from short range.,CCC-ESP77
Fighter's Stance,2,Active (Incidental),No,When making combat check if performed Guarded Stance suffer 1 strain to ignore penalties.,CCC-ESP77
Pact Magic,2,Passive,No,Entered Pact with otherworldly being. Choose one spell type normally cannot cast. Once per encounter cast using any magic skill. GM spends help to inflict wound.,CCC-ESP77
Prepared Spell,2,Active (Action),No,Once per session make spell casting check without suffering strain.,CCC-TheSapient
Blindsense,3,Passive,Yes,As long as can hear ignore setback from darkness or blindness within short range.,CCC-ESP77
Blood Magic,3,Active (Incidental),No,When casting spell take two wounds instead of two strain.,CCC-ESP77
Bonded Implement,3,Active (Action),No,Choose magical implement and bond to it. No other may use. Summon with Hard Magic check. Select new if lost or destroyed.,CCC-TheSapient
Combat Caster,3,Passive,No,Once per session add Deadly quality to spell without increasing difficulty.,CCC-ESP77
Distant Spell,3,Passive,No,Once per session first range enhancement does not increase spell difficulty.,CCC-ESP77
Familiar (Improved),3,Active (Action),No,Must have Familiar talent. Suffer 2 strain and make Easy Magic check to see using familiar senses one round. Familiar assists with two setbacks.,CCC-ESP77
Forbidden Knowledge,3,Active (Maneuver),No,Once per session suffer strain up to Knowledge ranks to increase Knowledge ranks by equal for spell effect strength determination. Temporary ranks may exceed 5.,CCC-Klort
Life or Death,3,Passive,No,When suffering wounds equal to half threshold add setback to combat checks.,CCC-Swordbreaker
Lingering Spell,3,Active (Incidental),No,Spend Story Point to make concentration maneuver as incidental.,CCC-TheSapient
Magic Resistance,3,Passive,Yes,Spell casters add setback to checks. Add setback when making negative magic effect resistance checks.,CCC-Klort
Maximize Spell,3,Active (Incidental),Yes,Once per session add setback per rank to spell casting check.,CCC-ESP77
Overchannel (Improved),3,Passive,No,Must have Overchannel talent. Add double difficulty effects. Gain one despair per effect instead of increasing difficulty.,CCC-ESP77
Pinning Fire,3,Active (Action),Yes,Select target within range and make Pinning Fire action. Target adds setback per rank and suffers 1 strain until next turn.,CCC-Tom Cruise
Shape Spell,3,Active (Incidental),Yes,When casting Blast spell spend advantage to exclude 1 target per rank.,CCC-ESP77
Shield Master,3,Active (Maneuver),No,While wielding shield take maneuver suffering 1 strain. Shield Defensive and Deflection increase by 1 each until end of next turn.,CCC-Direach
Sneak Attack,3,Active (Incidental),No,Once per round when performing Aim maneuver suffer 1 strain to add Pierce 2 or increase Pierce by 1.,CCC-yeti1069
Turn Undead,3,Active (Action),Yes,Force all undead within short range to make fear check with difficulty equal to Discipline. Failed check forces moving away spending maneuvers.,CCC-ESP77
Assassin Strike,4,Active (Incidental),No,After successful melee check spend Story Point to disengage as incidental.,CCC-Tom Cruise
Blood Magic (Improved),4,Active (Incidental),No,Must have Blood Magic talent. Once per encounter suffer additional 2 wounds to add one effect difficulty modifier without increasing difficulty.,CCC-ESP77
Faith Healing,4,Active (Incidental),Yes,After Heal spell check change one success to advantage per rank.,CCC-TheSapient
Familiar (Supreme),4,Active (Incidental),No,Must have Familiar talent. Spend Story Point to use familiar as spell origin point.,CCC-ESP77
Finesse (Improved),4,Passive,No,Must have Finesse talent. Use Agility instead of Brawn for Brawl and Melee (Light) base damage.,CCC-Dragonshadow
Flurry of Blows,4,Active (Maneuver),No,Perform maneuver suffering strain up to Coordination ranks. Gain Linked quality equal to strain on next Melee or Brawl check.,CCC-Klort
Life or Death (Improved),4,Passive,No,Must have Life or Death talent. When suffering half or more wounds upgrade combat checks ability.,CCC-Swordbreaker
Mage Hunter,4,Active (Action),Yes,When targeted by curse spell make Daunting Discipline check to remove status. Reduce difficulty per rank.,CCC-ESP77
Mystic Theurge (Improved),4,Passive,No,Must have Mystic Theurge talent. No longer limits magic skill use to once per encounter.,CCC-yeti1069
Pinning Fire (Improved),4,Active (Action),No,Must have Pinning Fire talent. Affect multiple targets equal to Pinning Fire ranks.,CCC-Tom Cruise
Quickened Spell,4,Active (Maneuver),No,Once per session suffer 2 strain to make magic check as maneuver.,CCC-ESP77
Reflexive Barrier,4,Active (Incidental; Out of Turn),No,Once per session when targeted by attack cast Barrier as out-of-turn incidental.,CCC-ESP77
Sneak Attack (Improved),4,Active (Incidental),No,Must have Sneak Attack talent. Once per round when Aiming suffer 1 strain to add Vicious 2 or increase Vicious by 1.,CCC-Richardbuxton
Vision of the Future,4,Active (Incidental),No,Once per session after successful spell spend advantages or triumph to add effect normally increasing difficulty by 1.,CCC-TheSapient
Barbaric Strength,5,Passive,No,Use Melee (Heavy) weapons one-handed using Melee (Heavy) skill.,CCC-Klort
Blood Magic (Supreme),5,Active (Incidental),No,Once per session suffer critical. Decrease next spell check difficulty by three minimum Average.,CCC-ESP77
Bouncing Spell,5,Active (Incidental),No,When spell casting fails targeting character or NPC spend triumph or advantages to reroll with new target.,CCC-TheSapient
Sneak Attack (Supreme),5,Active (Incidental),No,Must have Sneak Attack talent. Once per encounter spend Story Point to add triumph to Attack action without usual successes.,CCC-Richardbuxton
Turn Undead (Improved),5,Active (Incidental),No,When taking Turn Undead action flip Story Point to deal 2 strain per rank to failed creatures. Perform Concentration maneuver to maintain subsequent rounds.,CCC-ESP77